,time,max t2m,min t2m,rel. humidity,total precip.,total runoff,surf. moisture,max windgust,disaster_type,hdi_category
0,-365,0.05014062,0.02050454,-0.04189119,0.0126923295,-0.007748414,-0.102253035,0.030982092,Flood,Low sHDI
1,-180,0.049148757,0.01588298,0.017830446,-0.021145632,-0.019023674,-0.057243675,-0.014198062,Flood,Low sHDI
2,-90,-0.02368371,-0.06574145,0.050364923,-0.014043047,-0.019782864,-0.076709844,-0.009139325,Flood,Low sHDI
3,-60,0.02891948,-0.009161093,0.00120311,-0.044076663,-0.024682067,-0.054063663,0.012782423,Flood,Low sHDI
4,-45,0.024952296,-0.002826169,0.039112765,-0.0036936973,0.005194189,0.018784458,-0.03285758,Flood,Low sHDI
5,-30,0.021889776,-0.008762871,0.02418005,0.0061053475,0.00036699313,-0.06028792,0.0187448,Flood,Low sHDI
6,-15,-0.036792576,-0.026444685,0.11571465,0.034675993,0.036981534,0.073396154,-0.022998339,Flood,Low sHDI
7,-7,-0.10779682,0.0053850072,0.22468358,0.15134071,0.114666,0.17191222,-0.011957007,Flood,Low sHDI
8,-1,-0.29125264,-0.02921637,0.445977,0.53887814,0.42374125,0.42214373,0.038240854,Flood,Low sHDI
9,0,-0.41260004,-0.06923472,0.5033784,0.7620444,0.610942,0.5160298,0.13787718,Flood,Low sHDI
10,1,-0.4925049,-0.12968941,0.51222754,0.6551167,0.5645644,0.5686985,0.06922777,Flood,Low sHDI
11,7,-0.23456533,-0.11713686,0.27621692,0.12444808,0.1631738,0.3133748,-0.06134531,Flood,Low sHDI
12,15,-0.093108505,-0.10557671,0.19870533,0.01390378,0.05385036,0.22445656,-0.0699692,Flood,Low sHDI
13,30,-0.1082064,-0.09150882,0.13790059,0.01704543,0.066747196,0.17730336,-0.032705337,Flood,Low sHDI
14,45,-0.0110298665,-0.0112036,0.09686249,-0.00470856,0.040319685,0.12726168,0.0015384598,Flood,Low sHDI
15,60,0.0009067503,-0.023828834,0.043655727,-0.014726261,0.035921887,0.110520534,0.004664358,Flood,Low sHDI
16,90,-0.03490711,-0.060526073,0.062908806,-0.03277822,0.004672037,0.05240761,0.0014482226,Flood,Low sHDI
17,180,0.007130893,-0.05899678,-0.025728073,-0.015802834,-0.012019647,-0.029688608,-0.035714775,Flood,Low sHDI
18,365,0.02862158,-0.0002760796,0.016782878,0.016372934,-0.005591588,-0.03484428,-0.013481407,Flood,Low sHDI
0,-365,0.026354998,0.020185081,0.029370023,-0.011514186,-0.02040421,-0.0059975004,0.03059256,Flood,Medium sHDI
1,-180,-0.017533585,-0.07054041,0.0672524,0.0029249394,0.008526769,0.007139846,-0.007011694,Flood,Medium sHDI
2,-90,-0.012403337,-0.026082661,0.07143152,0.026497453,0.008416922,0.028793098,-0.012157013,Flood,Medium sHDI
3,-60,-0.014133509,-0.024671463,0.03754115,0.023062214,0.02716915,0.05928644,0.01847965,Flood,Medium sHDI
4,-45,-0.033884104,0.0134047745,0.15841126,0.048457716,0.03520719,0.08224776,0.008865114,Flood,Medium sHDI
5,-30,-0.042945635,-0.024162587,0.11471055,0.07589338,0.07627701,0.107514374,-0.030332938,Flood,Medium sHDI
6,-15,-0.0060657654,0.014416631,0.09804593,0.022143126,0.030772852,0.109095804,-0.050215807,Flood,Medium sHDI
7,-7,-0.07869691,0.01588643,0.21248974,0.14543854,0.13846844,0.22810937,-0.017967172,Flood,Medium sHDI
8,-1,-0.25823858,0.08913368,0.4514749,0.60790735,0.54438996,0.50527245,0.09352555,Flood,Medium sHDI
9,0,-0.43437722,0.058095355,0.5643821,1.0340714,0.9355644,0.639708,0.23975703,Flood,Medium sHDI
10,1,-0.5008415,0.0038447995,0.5657971,0.8981517,0.90684515,0.7132043,0.18202388,Flood,Medium sHDI
11,7,-0.16153045,-0.009987552,0.23720157,0.10449619,0.23095773,0.35837516,0.020383902,Flood,Medium sHDI
12,15,-0.052441023,0.027541054,0.15420912,0.01798778,0.1279242,0.23351704,-0.041595776,Flood,Medium sHDI
13,30,-0.03731663,-0.025414295,0.13596453,0.07600009,0.13699731,0.19896026,-0.06167597,Flood,Medium sHDI
14,45,-0.053868588,-0.0071344175,0.11455982,0.011019901,0.09818041,0.17585371,-0.030227788,Flood,Medium sHDI
15,60,-0.009597997,-0.05784522,0.08469397,0.02137719,0.08683114,0.11978417,-0.0216357,Flood,Medium sHDI
16,90,-0.027211115,-0.036578283,0.06677309,0.00023908872,0.057587635,0.12477286,-0.027496567,Flood,Medium sHDI
17,180,-0.037288442,-0.060500644,0.029964367,-0.004079891,0.01620349,0.04663739,0.038198996,Flood,Medium sHDI
18,365,-0.0037165922,0.020659726,0.097579695,0.022532528,0.011717217,0.063370615,0.0105502475,Flood,Medium sHDI
0,-365,0.02764003,0.017580204,0.08030506,-0.021045092,0.01486919,0.0045500407,-0.0045835576,Flood,High sHDI
1,-180,-0.012108693,-0.005079192,0.15486294,0.066828676,0.012539447,0.12898745,0.01682888,Flood,High sHDI
2,-90,0.026706966,0.006031619,0.05444889,-0.03763183,-0.0365533,0.05537849,-0.019810453,Flood,High sHDI
3,-60,-0.01912075,-0.038996898,0.09202099,-0.008829766,0.017937168,0.04062697,-0.017368877,Flood,High sHDI
4,-45,0.02521293,0.0018686053,0.081608824,0.02789382,-0.00355851,0.10747247,-0.06372976,Flood,High sHDI
5,-30,-0.05237353,-0.05253355,0.058829784,0.021921,0.03420019,0.10727816,0.025947548,Flood,High sHDI
6,-15,-0.0007898646,0.010287569,0.17216688,0.04669311,0.032002438,0.17749034,-0.061639495,Flood,High sHDI
7,-7,-0.021284359,0.128626,0.22509593,0.14539401,0.12337472,0.20602407,0.015070296,Flood,High sHDI
8,-1,-0.2138757,0.21546212,0.53389806,0.73848116,0.6229609,0.57156825,0.25441635,Flood,High sHDI
9,0,-0.40116698,0.19745716,0.6729899,1.325745,1.3260623,0.78671163,0.410284,Flood,High sHDI
10,1,-0.5118536,0.10774434,0.7118254,1.17566,1.222366,0.88275695,0.37494057,Flood,High sHDI
11,7,-0.16463159,0.018762475,0.33777988,0.18020335,0.3367427,0.5283863,-0.0048880815,Flood,High sHDI
12,15,-0.036697417,0.04422652,0.1896007,0.031525876,0.16708705,0.3202622,-0.03267568,Flood,High sHDI
13,30,0.045174208,0.11549401,0.13548373,0.019956985,0.1283279,0.25246707,-0.07638484,Flood,High sHDI
14,45,0.02146407,0.059927613,0.124013714,0.009069563,0.15475923,0.25984824,-0.01786703,Flood,High sHDI
15,60,-0.008090952,0.0019747342,0.0996134,0.011288116,0.08514545,0.26184767,-0.023237584,Flood,High sHDI
16,90,0.0066937823,0.027262254,0.11911831,0.0324677,0.1043499,0.17987384,0.031365003,Flood,High sHDI
17,180,-0.0098472815,-0.02987318,0.071544476,-0.058918584,0.017055029,0.09917041,-0.032209214,Flood,High sHDI
18,365,0.057941012,0.05489779,0.032266203,-0.023701701,-0.03546956,0.029825728,-0.021597475,Flood,High sHDI
0,-365,0.12610127,0.09458316,0.008182287,0.011881786,0.025923606,0.009570729,0.009378967,Flood,Very high sHDI
1,-180,-0.008033673,0.030536043,0.06670711,0.018046107,-0.0402964,0.00078366156,-0.029101485,Flood,Very high sHDI
2,-90,-0.013843188,-0.0440763,0.05224724,0.009758954,-0.0033052175,0.057087813,0.062206097,Flood,Very high sHDI
3,-60,-0.016646829,0.01187635,0.10508853,0.014602239,0.020953655,0.067354485,0.0068561276,Flood,Very high sHDI
4,-45,0.017274797,-0.0010772581,0.11201533,-0.0036647117,0.0009537534,0.08832069,0.0078743845,Flood,Very high sHDI
5,-30,-0.046092063,-0.0077389954,0.13396052,0.043598715,0.04249401,0.1480899,-0.011265495,Flood,Very high sHDI
6,-15,-0.046185482,-0.016149791,0.0828425,0.04799354,0.02979701,0.13208057,0.03038403,Flood,Very high sHDI
7,-7,0.025935585,0.109749824,0.18907148,0.0934039,0.08536348,0.17501454,0.023018993,Flood,Very high sHDI
8,-1,-0.12213625,0.34815428,0.6182173,1.1572642,1.085611,0.73420185,0.3657314,Flood,Very high sHDI
9,0,-0.26363924,0.3901498,0.8441712,2.072018,2.0781286,1.082683,0.73874676,Flood,Very high sHDI
10,1,-0.3786654,0.24764007,0.76650524,1.4917678,1.6279348,1.1395593,0.5631092,Flood,Very high sHDI
11,7,-0.07743548,0.07318096,0.2724752,0.12392867,0.39480457,0.54230523,-0.005604159,Flood,Very high sHDI
12,15,-0.087456115,-0.013718273,0.16082457,0.01014535,0.29246894,0.33635843,-0.089574665,Flood,Very high sHDI
13,30,-0.04222605,0.03618371,0.18493536,0.040181447,0.2263952,0.29590717,-0.0025025082,Flood,Very high sHDI
14,45,-0.025166467,-0.026914323,0.077386506,-0.05136277,0.21199624,0.20228933,-0.083538294,Flood,Very high sHDI
15,60,-0.012842591,-0.034948327,0.051235408,-0.0215158,0.17348626,0.15936959,-0.03022852,Flood,Very high sHDI
16,90,0.02572921,0.018963924,0.046366982,0.006732772,0.11114558,0.08099515,0.028614428,Flood,Very high sHDI
17,180,-0.027837386,-0.021684121,0.08200609,-0.0067837755,0.08088974,-0.020768113,-0.01542972,Flood,Very high sHDI
18,365,0.065874875,0.07248709,0.11527292,-0.009770588,-0.029335078,-0.014575099,0.057079036,Flood,Very high sHDI
0,-365,-0.07708741,-0.049408153,0.072421856,-0.036531,-0.030871514,-0.07616195,-0.0022351982,Storm,Low sHDI
1,-180,-0.0048124637,-0.026746958,-0.019406382,0.11292128,0.03488506,-0.039093588,-0.045302592,Storm,Low sHDI
2,-90,0.0014951831,0.027387869,0.07414707,-0.016792653,-0.05068629,-0.100648634,0.011132595,Storm,Low sHDI
3,-60,0.049496196,-0.025719818,-0.049554106,0.003758172,-0.006109102,-0.06380525,-0.018255219,Storm,Low sHDI
4,-45,0.027960328,-0.017290939,-0.035788875,-0.026929911,-0.058372904,-0.005198846,0.050303437,Storm,Low sHDI
5,-30,0.0020599666,-0.06003472,0.07185383,0.012578872,-0.032195624,0.030368092,-0.029512,Storm,Low sHDI
6,-15,-0.0131701315,-0.036250953,0.08413679,0.03139752,0.015795408,-0.013665264,0.04338729,Storm,Low sHDI
7,-7,-0.033705767,0.01898083,0.084720574,0.12597746,0.07493321,0.027275113,0.04577121,Storm,Low sHDI
8,-1,-0.32954732,0.003413272,0.3202938,0.79044366,0.46494803,0.37893823,0.7978737,Storm,Low sHDI
9,0,-0.652281,-0.096109115,0.5819624,2.008542,1.6428533,0.6890242,1.4376279,Storm,Low sHDI
10,1,-0.656988,-0.14637986,0.6150209,1.2738326,1.161819,0.7787025,0.9592301,Storm,Low sHDI
11,7,-0.21871398,-0.09368133,0.25569975,0.116385676,0.16366346,0.31316027,-0.039998386,Storm,Low sHDI
12,15,-0.093796656,-0.13323903,0.059534818,-0.0052521797,0.029293608,0.108129025,-0.055892907,Storm,Low sHDI
13,30,-0.07171405,-0.095937476,0.072878264,0.03218839,0.014873292,0.037713848,-0.051126704,Storm,Low sHDI
14,45,-0.02624773,0.07066879,0.039025698,0.034353144,0.06757848,0.050327163,0.09689049,Storm,Low sHDI
15,60,-0.094697274,-0.09969309,0.055878043,0.06984292,0.06043106,0.06841887,0.009537132,Storm,Low sHDI
16,90,-0.039974935,-0.077361725,0.0063726376,-0.04327604,-0.023038005,-0.028512646,0.077312455,Storm,Low sHDI
17,180,0.0039230166,-0.05186484,-0.0318162,-0.018807465,0.01596052,-0.024054082,-0.06258845,Storm,Low sHDI
18,365,0.08893167,0.026475709,-0.08197901,-0.06453655,-0.024976764,-0.06090964,0.015826097,Storm,Low sHDI
0,-365,0.007531243,-0.058483995,0.008055669,-0.0013498632,-0.007785424,-0.0026970506,0.0144726755,Storm,Medium sHDI
1,-180,0.008126479,-0.0071038282,0.034746975,0.011621208,-0.04474195,0.028563324,0.02419165,Storm,Medium sHDI
2,-90,-0.016882133,-0.048162203,0.10989679,0.036864977,0.00986377,0.072563566,0.002229163,Storm,Medium sHDI
3,-60,0.04441558,0.017926374,0.046696994,0.022565275,-0.0092795575,0.030963453,0.07696907,Storm,Medium sHDI
4,-45,0.0059010517,0.011877916,-0.016840221,-0.008420072,-0.013064438,0.038329888,0.008924212,Storm,Medium sHDI
5,-30,0.01937346,0.051713757,0.06401324,0.060374565,0.04203715,0.090281874,0.006988439,Storm,Medium sHDI
6,-15,-0.025782311,-0.07238908,0.10551566,0.00024275082,-0.013789986,0.05344703,-0.037986983,Storm,Medium sHDI
7,-7,-0.03137802,0.0013497786,0.109099515,0.03162624,0.013644485,0.07186565,-0.01102301,Storm,Medium sHDI
8,-1,-0.3627767,0.03806849,0.3278159,0.8602467,0.59263796,0.41708812,0.86229485,Storm,Medium sHDI
9,0,-0.6664686,-0.026124567,0.51094145,1.7243664,1.4759659,0.68362683,1.4022231,Storm,Medium sHDI
10,1,-0.62503225,-0.03479792,0.48772225,1.02501,0.9617305,0.70288026,0.8844357,Storm,Medium sHDI
11,7,-0.074266024,0.029429328,0.13518766,0.093218364,0.19284385,0.2880022,-0.008801844,Storm,Medium sHDI
12,15,-0.048822537,-0.0062651625,0.101040535,0.09111643,0.12262771,0.1920092,-0.0031630937,Storm,Medium sHDI
13,30,-0.014215538,0.05467004,0.034030065,0.038542397,0.04243513,0.1412717,0.0238776,Storm,Medium sHDI
14,45,0.061317023,0.04567061,-0.004541101,0.023661703,0.07406706,0.09730118,-0.09702671,Storm,Medium sHDI
15,60,0.0022862297,0.07310291,0.015723506,0.033771932,0.085844584,0.15703475,-0.0015312177,Storm,Medium sHDI
16,90,-0.006563347,0.009259964,0.050886802,0.042108174,0.06132088,0.08410738,-0.031088628,Storm,Medium sHDI
17,180,-0.022712164,-0.066549554,0.032096997,0.0053303856,-0.0065424563,0.050665073,0.034844346,Storm,Medium sHDI
18,365,0.04133306,0.00831078,0.049396146,0.024010591,0.01817198,0.079238094,-0.052115653,Storm,Medium sHDI
0,-365,0.015552336,-0.015859434,0.056049265,0.008029507,-0.025467146,0.050654035,-0.021525618,Storm,High sHDI
1,-180,-0.011043425,0.0028584863,0.0044139843,0.06986797,0.060458187,0.117005154,0.00094541407,Storm,High sHDI
2,-90,0.016421745,0.036221843,0.08573052,0.015692843,-0.022722725,0.1915878,-0.034720905,Storm,High sHDI
3,-60,-0.0036872942,0.019737981,0.025359586,-0.0027495367,0.023192175,0.16565284,0.047996428,Storm,High sHDI
4,-45,0.029382752,0.098779455,0.07165525,0.04527705,0.0825501,0.18467614,0.015321214,Storm,High sHDI
5,-30,0.055843204,-0.013772902,0.1018054,0.052653123,0.022552332,0.13141291,-0.052428186,Storm,High sHDI
6,-15,0.032914948,0.025753599,0.13584277,-0.0053826147,-0.046743732,0.14218834,-0.013660403,Storm,High sHDI
7,-7,-0.011428274,0.015297729,0.146702,0.03743302,-0.009365943,0.14707303,-0.062223554,Storm,High sHDI
8,-1,-0.29978117,0.13379034,0.38415393,0.9432842,0.66019964,0.50314516,1.0225903,Storm,High sHDI
9,0,-0.6070924,0.03868997,0.5748948,1.5842754,1.2837492,0.7600455,1.526311,Storm,High sHDI
10,1,-0.65724504,-0.0419174,0.59687334,1.2033255,0.9783362,0.8457754,1.1069734,Storm,High sHDI
11,7,-0.18206397,-0.09337056,0.27130723,0.12752372,0.16782126,0.38972673,-0.010202132,Storm,High sHDI
12,15,-0.13276058,-0.06400415,0.23766185,0.012050992,0.0809419,0.31710714,0.04744955,Storm,High sHDI
13,30,-0.07168635,-0.006754794,0.23739235,0.017403988,-0.0037157964,0.2861072,-0.014092383,Storm,High sHDI
14,45,-0.030778913,-0.020388363,0.16613509,-0.0006826149,0.051713794,0.24110752,-0.044500157,Storm,High sHDI
15,60,-0.016014064,-0.024901742,0.12341585,0.0871205,0.091992654,0.28580078,0.046005704,Storm,High sHDI
16,90,-0.027702825,-0.02012522,0.005854218,0.01688716,0.07026297,0.22946595,0.02728295,Storm,High sHDI
17,180,0.054113008,0.08345315,0.041822698,0.05366973,0.033456277,0.13304456,0.03157129,Storm,High sHDI
18,365,0.022396062,0.022522967,0.059505258,-0.03577192,-0.015781805,0.08618815,0.05320124,Storm,High sHDI
0,-365,-0.059661843,-0.106164664,0.061634697,-0.020625565,-0.034207046,-0.023168799,-0.022008548,Storm,Very high sHDI
1,-180,0.010992936,0.016521012,-0.015847035,-0.0177639,-0.04269017,-0.0145354755,0.078323565,Storm,Very high sHDI
2,-90,0.08256246,0.03550758,0.06359491,-0.020493256,-0.045642905,-0.036666118,-0.0048148455,Storm,Very high sHDI
3,-60,0.021176105,0.05525103,0.13445266,0.08498968,0.043951232,0.061932337,-0.0016923442,Storm,Very high sHDI
4,-45,-0.023156894,-0.035261594,0.05751794,-0.01088072,-0.011473709,-0.019676546,0.0058872458,Storm,Very high sHDI
5,-30,-0.020636242,0.016603751,0.1471852,0.064096324,0.018493583,0.11849533,-0.014809401,Storm,Very high sHDI
6,-15,-0.02191315,-0.008254141,0.0986164,0.039001938,0.015761178,0.09066558,0.08378635,Storm,Very high sHDI
7,-7,0.012967611,0.06645829,0.1545477,0.119840026,0.049088124,0.19227163,0.08846035,Storm,Very high sHDI
8,-1,0.12989923,0.29480994,0.28735268,0.48661909,0.29748654,0.3049093,0.5813718,Storm,Very high sHDI
9,0,0.019549876,0.32120112,0.46941978,1.2457722,0.866601,0.6050045,1.2953919,Storm,Very high sHDI
10,1,-0.11517088,0.1629559,0.3592614,0.9599217,0.7354839,0.6385514,1.1494137,Storm,Very high sHDI
11,7,-0.10418882,-0.06877936,0.15285352,0.04713334,0.14453016,0.23847787,0.078054085,Storm,Very high sHDI
12,15,-0.05007066,-0.025869047,0.111822225,-0.007483422,0.10944135,0.18452048,-0.011007116,Storm,Very high sHDI
13,30,-0.062580116,0.00072228146,0.13479587,0.06548493,0.1786507,0.19335021,0.021982726,Storm,Very high sHDI
14,45,-0.050827134,-0.038371865,0.09651322,0.018365344,0.118774995,0.10961822,0.05302023,Storm,Very high sHDI
15,60,-0.072944395,-0.05185277,0.032701742,-0.006360473,0.07411739,0.08325944,-0.013223314,Storm,Very high sHDI
16,90,0.043897394,0.021933623,0.12850682,-0.0054925447,0.071233325,0.0029558497,-0.063267775,Storm,Very high sHDI
17,180,0.04667294,0.01780569,-0.005265553,-0.021253087,-0.0006808234,0.02221668,-0.02626105,Storm,Very high sHDI
18,365,-0.03784502,-0.010776319,0.108279444,0.019454729,-0.031464513,0.04113406,-0.041574884,Storm,Very high sHDI
0,-365,-0.1745296,-0.23538837,0.054487247,-0.07761401,-0.12459888,-0.03526515,-0.032983303,Landslide,Low sHDI
1,-180,0.04532509,-0.03264317,-0.11609756,-0.10248646,-0.016539495,-0.02576475,-0.025024507,Landslide,Low sHDI
2,-90,-0.03324086,-0.096841484,0.021112915,-0.06617044,-0.07713916,-0.11732257,0.03756112,Landslide,Low sHDI
3,-60,-0.1026092,-0.08947655,0.12530293,0.045744624,-0.030317456,-0.063994735,-0.0640842,Landslide,Low sHDI
4,-45,-0.0842188,-0.17899027,0.16675243,-0.04823132,-0.030451702,0.050731294,-0.08149292,Landslide,Low sHDI
5,-30,-0.1095928,-0.06569604,0.17816159,0.060237918,-0.057618827,0.09657033,-0.06180989,Landslide,Low sHDI
6,-15,-0.04263275,-0.0043010483,0.12966782,0.04922793,-0.026137218,0.106218114,-0.11691018,Landslide,Low sHDI
7,-7,-0.09535996,0.04499075,0.26550812,0.18902168,0.12185876,0.20550579,-0.0666315,Landslide,Low sHDI
8,-1,-0.30076796,0.06451636,0.46475747,0.716642,0.4026207,0.38157067,0.41868737,Landslide,Low sHDI
9,0,-0.45306,-0.09785359,0.5152259,0.5724144,0.29343164,0.46338832,0.23280154,Landslide,Low sHDI
10,1,-0.516575,-0.1809299,0.42014134,0.43301415,0.28703246,0.40506905,0.027628308,Landslide,Low sHDI
11,7,-0.17178117,-0.10566639,0.15613085,0.018848352,0.049329847,0.11598145,-0.04775325,Landslide,Low sHDI
12,15,-0.015506962,-0.041264635,0.025488203,-0.056490354,-0.03491949,0.022381503,0.043700553,Landslide,Low sHDI
13,30,-0.034287777,0.0006567273,0.10853624,0.06046363,0.25824204,0.06763797,0.04165143,Landslide,Low sHDI
14,45,-0.08114894,-0.0027233686,0.10819896,0.021036506,0.010044147,0.00420131,0.041473404,Landslide,Low sHDI
15,60,-0.04244677,-0.030167645,0.10167509,0.02736405,0.06460178,0.12276225,-0.08071691,Landslide,Low sHDI
16,90,-0.0118746655,-0.00961265,0.1266898,0.14322405,0.14342894,0.05041647,-0.0138045,Landslide,Low sHDI
17,180,0.0737943,0.12596369,0.046222135,0.19286892,0.08820822,-0.022104675,0.041948583,Landslide,Low sHDI
18,365,-0.018617775,-0.13834193,-0.058946744,-0.062292848,-0.057086676,-0.077213444,0.009076465,Landslide,Low sHDI
0,-365,-0.04529593,-0.027882038,0.03483131,0.019647347,-0.032685947,0.04856251,0.002167462,Landslide,Medium sHDI
1,-180,-0.028830098,0.032510143,0.061169434,-0.0149902105,0.0009139948,0.09056111,0.049132254,Landslide,Medium sHDI
2,-90,0.0033314691,0.0758361,0.048859287,-0.048899807,-0.021872183,0.10371788,-0.00944841,Landslide,Medium sHDI
3,-60,-0.08095644,-0.025912242,0.09258544,0.020372923,0.023022313,0.08145158,-0.05089856,Landslide,Medium sHDI
4,-45,-0.11940904,-0.011709973,0.15983458,0.09278471,0.061858412,0.119826645,0.047981378,Landslide,Medium sHDI
5,-30,-0.0032551326,0.015775835,0.03860941,-0.007516638,0.0083610695,0.060650658,0.0080437325,Landslide,Medium sHDI
6,-15,-0.08224985,-0.09542499,0.030212518,0.012030586,0.019130502,0.09493757,-0.10571875,Landslide,Medium sHDI
7,-7,-0.15957135,-0.11705061,0.20900925,0.12818056,0.17116585,0.1761124,-0.049728103,Landslide,Medium sHDI
