case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,npoints,impact,significance,alpha_sig
High sHDI : Very high sHDI,1.5919570172660487,1.1378119625367866,2.2863450728278827,0.4649640878529629,0.1291070870221421,0.8269545044741267,All types,0.00984446879028062,High sHDI,2276,Likelihood affected, ** ,1
Low sHDI : Very high sHDI,3.4287175452468444,2.551577830863791,4.77775750879927,1.2321862977482012,0.9367119250205135,1.5639712960040053,All types,1.4651390707861452e-14,Low sHDI,2690,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,2.4314207032166233,1.804752997615748,3.4366199724749316,0.8884757380398117,0.5904237389947499,1.2344884222097532,All types,4.9640736850124885e-8,Medium sHDI,3021,Likelihood affected, *** ,1
High sHDI : Very high sHDI,2.2522260535024134,1.4199257763011308,3.726998274642525,0.8119190842373288,0.3506046000365631,1.315603157562355,Flood,0.0011341653167098345,High sHDI,1176,Likelihood affected, ** ,1
Low sHDI : Very high sHDI,4.704598641650928,3.098537153873046,7.6432560456850025,1.5485404647548964,1.1309301142705313,2.0338236963780107,Flood,1.2852945829412805e-11,Low sHDI,1518,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,3.765896573768577,2.456190083071308,6.08111869574281,1.3259859667055782,0.8986114026773679,1.8051886750632165,Flood,1.3326674887141858e-8,Medium sHDI,1607,Likelihood affected, *** ,1
High sHDI : Very high sHDI,0.9785902603063159,0.1078241061874702,5.3194726871643025,-0.021642252857700852,-2.2272540259565488,1.6713741794868664,Landslide,0.9842633685287158,High sHDI,77,Likelihood affected,.,0.8
Low sHDI : Very high sHDI,1.7155237397407264,0.419981313060514,7.8643603386863195,0.5397184216005225,-0.8675450614076151,2.0623412030929553,Landslide,0.464521255453425,Low sHDI,136,Likelihood affected,.,0.8
Medium sHDI : Very high sHDI,0.5669498945594739,0.18283965156116258,2.412032090132595,-0.567484348542833,-1.699145731223961,0.8804695831431842,Landslide,0.3925128116585091,Medium sHDI,182,Likelihood affected,.,0.8
High sHDI : Very high sHDI,1.7000712243943432,0.9345104065278562,3.1561377539660955,0.5306701468870829,-0.06773251621716327,1.1493490503093,Storm,0.08341522651057426,High sHDI,755,Likelihood affected,.,0.8
Low sHDI : Very high sHDI,2.510075994136417,1.4930918035434262,4.435841244610682,0.9203130292337404,0.4008490059790717,1.4897172808879962,Storm,9.332376791153546e-4,Low sHDI,776,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,2.2828784724726727,1.451332705482023,4.002042486173592,0.8254371346251931,0.3724822415410447,1.3868048523404704,Storm,0.0013521707076561333,Medium sHDI,990,Likelihood affected, ** ,1
High sHDI : Very high sHDI,0.6873268048183379,0.10797337834546279,49.527749240215364,-0.3749454014428865,-2.2258705790445177,3.9025331032137927,Cold wave,0.8481201230948693,High sHDI,68,Likelihood affected,.,0.8
Low sHDI : Very high sHDI,0.15096349437687456,0.014865155770251786,12.004637427510119,-1.8907172304891993,-4.208735343592578,2.4852930274270557,Cold wave,0.3493333816053967,Low sHDI,28,Likelihood affected,.,0.8
Medium sHDI : Very high sHDI,2.1004191225290154,0.36651446182982517,163.42068662996752,0.7421369069721824,-1.0037172991438186,5.096327775575244,Cold wave,0.7036197101174625,Medium sHDI,37,Likelihood affected,.,0.8
High sHDI : Very high sHDI,1.9847947942473152,0.16435693948924368,11.262003628822754,0.6855155305823185,-1.8057147559163758,2.421434549050698,Wildfire,0.5284966567344089,High sHDI,158,Likelihood affected,.,0.8
Low sHDI : Very high sHDI,0.4281045826953145,0.08568654600517271,2.1858720455851044,-0.8483877611575941,-2.457059455140426,0.7820148544570654,Wildfire,0.28883223059813495,Low sHDI,141,Likelihood affected,.,0.8
Medium sHDI : Very high sHDI,0.6584246312870038,0.14953200679787998,3.1897621737536417,-0.4179052194943121,-1.900244816772369,1.1599463603352453,Wildfire,0.5824973175755925,Medium sHDI,151,Likelihood affected,.,0.8
High sHDI : Very high sHDI,0.002275127834404401,9.929012967588096e-5,0.035764681699324806,-6.085719037210886,-9.21746439088799,-3.3307944172426094,Heat wave,1.7728164987789694e-4,High sHDI,28,Likelihood affected, *** ,1
Low sHDI : Very high sHDI,6.919660364144797e-4,3.3027898622216412e-6,0.009463264873607859,-7.2759736838769795,-12.620743033857515,-4.660337831399932,Heat wave,1.864476529169951e-4,Low sHDI,25,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,0.03547490160947666,6.393822351789992e-5,0.5260139257160295,-3.3389298294570957,-9.65759319829847,-0.642427591849574,Heat wave,0.24422467200061612,Medium sHDI,25,Likelihood affected,.,0.8
High sHDI : Very high sHDI,0.5080340523573353,0.21491915156655567,0.8966376152750548,-0.6772068014507336,-1.5374933608002759,-0.10910349490073151,Drought,0.06393814929572053,High sHDI,14,Likelihood affected,.,0.8
Low sHDI : Very high sHDI,3.973454276151678,2.862806128447261,5.446980544260489,1.3796358111346263,1.051802307597934,1.6950614265685546,Drought,7.533814680047245e-17,Low sHDI,66,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,2.1648883091742195,1.1714653843799225,3.719952939346445,0.7723687708277072,0.15825543041129528,1.313711017491713,Drought,0.008215184278019034,Medium sHDI,29,Likelihood affected, ** ,1
High sHDI : Very high sHDI,1.2677612835048178,0.564888152878933,3.130035073560211,0.2372525760713026,-0.5711275269385786,1.1410442100995706,All types,0.5971621392729389,High sHDI,2161,Likelihood fatalities,.,0.8
Low sHDI : Very high sHDI,1.9856481759964624,0.9138605062451585,4.733598415265176,0.6859453978634676,-0.09007733816324147,1.5546856775960205,All types,0.10931930706157919,Low sHDI,2623,Likelihood fatalities,.,0.8
Medium sHDI : Very high sHDI,1.575027024748033,0.7487176157107528,3.796923581958548,0.45427243070056944,-0.28939338162539424,1.33419115514736,All types,0.28617723070287643,Medium sHDI,3017,Likelihood fatalities,.,0.8
High sHDI : Very high sHDI,2.3918312426767168,1.0207524105553196,5.032963510313108,0.87205928287913,0.020540012767852674,1.6160089776811355,Flood,0.03137816107642436,High sHDI,898,Likelihood fatalities,* ,1
Low sHDI : Very high sHDI,2.9921348883641694,1.6667119607898895,5.638019644022729,1.0959871421054375,0.5108527998706507,1.7295328769041427,Flood,4.735070911099423e-4,Low sHDI,1260,Likelihood fatalities, *** ,1
Medium sHDI : Very high sHDI,3.0356422825320686,1.4514071778779272,6.316232052250212,1.1104230273385012,0.3725335533353584,1.8431228361000884,Flood,0.0037380074412429972,Medium sHDI,1359,Likelihood fatalities, ** ,1
High sHDI : Very high sHDI,0.596722641197984,0.17070613628619494,5.768876544557263,-0.5163028611518622,-1.7678117020469757,1.7524773552463737,Landslide,0.5798320276704638,High sHDI,100,Likelihood fatalities,.,0.8
Low sHDI : Very high sHDI,0.3809496004063159,0.11652437694598364,3.596940681387457,-0.9650881950036452,-2.149654783693357,1.2800836734425212,Landslide,0.292526920804156,Low sHDI,193,Likelihood fatalities,.,0.8
Medium sHDI : Very high sHDI,0.2575667414930235,0.08676409208225018,2.4136431635145232,-1.3564764021981708,-2.444562428595725,0.8811372921609291,Landslide,0.12965235277264955,Medium sHDI,271,Likelihood fatalities,.,0.8
High sHDI : Very high sHDI,0.44864599925975024,0.2339718261743001,1.0055571769744769,-0.8015211225635751,-1.452554571837743,0.005541792835121137,Storm,0.03152268317075438,High sHDI,815,Likelihood fatalities,* ,1
Low sHDI : Very high sHDI,8.238046142223611,2.089029952426485,23.59687435583632,2.1087631971421223,0.7366998206365424,3.161114260710967,Storm,6.554537198949357e-4,Low sHDI,877,Likelihood fatalities, *** ,1
Medium sHDI : Very high sHDI,2.082186319583879,0.8077814383311214,5.4954953290734885,0.7334184568630192,-0.21346375416693378,1.7039287255716735,Storm,0.13267450396006542,Medium sHDI,1077,Likelihood fatalities,.,0.8
High sHDI : Very high sHDI,2.0202803601423875,0.9972883507622241,4.283131183581859,0.703236293932071,-0.0027153324184063686,1.4546843270649163,Cold wave,0.057832914871249474,High sHDI,156,Likelihood fatalities,.,0.8
Low sHDI : Very high sHDI,2.9958405264379815,1.015613707299792,7.308148669136651,1.097224835412495,0.015493067507790295,1.9889899816499226,Cold wave,0.028867196707290595,Low sHDI,113,Likelihood fatalities,* ,1
Medium sHDI : Very high sHDI,12.546138249929221,0.5128700645478476,48.14468082932468,2.529412909056626,-0.6677327513753313,3.874210661307404,Cold wave,0.08833388552481232,Medium sHDI,118,Likelihood fatalities,.,0.8
High sHDI : Very high sHDI,0.35546634822955037,0.11864305812969929,1.5848017804482653,-1.0343246946144957,-2.1316358049362942,0.460459339854542,Wildfire,0.11968690805921497,High sHDI,107,Likelihood fatalities,.,0.8
Low sHDI : Very high sHDI,0.7555857703898792,0.1455705776597526,3.6290827740729097,-0.280261975731847,-1.9270942401524491,1.288979937029204,Wildfire,0.732775468811442,Low sHDI,87,Likelihood fatalities,.,0.8
Medium sHDI : Very high sHDI,0.21005498684814666,0.05081843815758584,0.982538719048754,-1.5603859404053053,-2.9794960343922554,-0.017615527314201355,Wildfire,0.03874960960840117,Medium sHDI,102,Likelihood fatalities,* ,1
High sHDI : Very high sHDI,0.1306108468785065,0.020706117658219787,0.48779474597187117,-2.035533011388719,-3.8773260833294403,-0.717860564123696,Heat wave,0.0171891241315465,High sHDI,85,Likelihood fatalities,* ,1
Low sHDI : Very high sHDI,0.10558225892302432,0.009159159450657508,0.38806567628537625,-2.248264924446873,-4.693000867535239,-0.9465806849064636,Heat wave,0.013149906593959993,Low sHDI,87,Likelihood fatalities,* ,1
Medium sHDI : Very high sHDI,0.5250257895404258,0.07335816456065206,1.8508488585228253,-0.6443078946628609,-2.612401470967261,0.6156443762989993,Heat wave,0.4145341521911737,Medium sHDI,87,Likelihood fatalities,.,0.8
High sHDI : Very high sHDI,0.4604785553799631,0.28025154233600424,0.7375230117061302,-0.7754889924927914,-1.2720677136159153,-0.30445798894154735,All types,0.001789244395504754,High sHDI,1353,Likelihood economic losses, ** ,1
Low sHDI : Very high sHDI,0.6555356965825129,0.3916012247292601,1.085026665435739,-0.4223025202321075,-0.9375112408300081,0.08160456312889619,All types,0.1023458534446608,Low sHDI,1200,Likelihood economic losses,.,0.8
Medium sHDI : Very high sHDI,0.6484576906343865,0.41139346160122053,1.0171170334687183,-0.4331585192439037,-0.8882051949347376,0.016972187602603214,All types,0.06054186814026183,Medium sHDI,1701,Likelihood economic losses,.,0.8
High sHDI : Very high sHDI,0.5534083876167702,0.28015490403329885,1.139021998094138,-0.591659055226696,-1.272412600097109,0.13016999779402716,Flood,0.10001755259374545,High sHDI,533,Likelihood economic losses,.,0.8
Low sHDI : Very high sHDI,0.4924287956602038,0.26483036495184153,0.9841875833389108,-0.7084054061619922,-1.3286657902252474,-0.015938766623632625,Flood,0.031425505574992796,Low sHDI,498,Likelihood economic losses,* ,1
Medium sHDI : Very high sHDI,0.5291113605509534,0.26530418829486535,1.1151913280718633,-0.6365563578397861,-1.3268782309488638,0.10902598487468376,Flood,0.0824558138428571,Medium sHDI,712,Likelihood economic losses,.,0.8
High sHDI : Very high sHDI,0.8518819456946867,0.11984434692025014,3.618978452614579,-0.16030732314455057,-2.1215614871720496,1.2861917906027251,Landslide,0.8498504298283621,High sHDI,24,Likelihood economic losses,.,0.8
Low sHDI : Very high sHDI,0.4394792273772433,0.12688497839897606,1.64204433822335,-0.8221648271894947,-2.064474284799022,0.4959420132377504,Landslide,0.18899426873099562,Low sHDI,25,Likelihood economic losses,.,0.8
Medium sHDI : Very high sHDI,2.9194978287298574,0.36795191549603484,13.016767086888168,1.0714116250281653,-0.999803013763493,2.5662383023295554,Landslide,0.23860352704927806,Medium sHDI,40,Likelihood economic losses,.,0.8
High sHDI : Very high sHDI,0.49088255639200207,0.1877333190794986,1.1242489072224207,-0.7115503724830625,-1.6727328387323832,0.11711517466235521,Storm,0.1170796317629892,High sHDI,644,Likelihood economic losses,.,0.8
Low sHDI : Very high sHDI,0.9030981206669908,0.4419162843264577,1.8858346130437151,-0.10192407070751733,-0.8166348168195985,0.6343704884486685,Storm,0.7816411667411527,Low sHDI,550,Likelihood economic losses,.,0.8
Medium sHDI : Very high sHDI,0.6046167821976697,0.29316109345732244,1.2054413953306278,-0.5031604395002297,-1.2270330140319947,0.18684580304893184,Storm,0.16635301203589614,Medium sHDI,802,Likelihood economic losses,.,0.8
High sHDI : Very high sHDI,0.27398907185959465,0.11813049304851349,0.6722706972538591,-1.2946670571135508,-2.135965392251417,-0.39709419627607584,Wildfire,0.0031334292771691215,High sHDI,100,Likelihood economic losses, ** ,1
Low sHDI : Very high sHDI,9.026351654591908,0.013439590344878917,16221.120375371758,2.200148260826682,-4.309550424643414,9.694069398981322,Wildfire,0.5087202188095503,Low sHDI,88,Likelihood economic losses,.,0.8
Medium sHDI : Very high sHDI,2.1767789829977566,0.03837221313604039,9.000633090445001,0.7778462534410967,-3.2604216975740106,2.1972949182450177,Wildfire,0.5218145171127351,Medium sHDI,97,Likelihood economic losses,.,0.8
High sHDI : Very high sHDI,1.5391773801483875,0.27069835071934106,13.780050029626244,0.4312481049717796,-1.3067501750315647,2.6232218961758917,Drought,0.6707722383020438,High sHDI,25,Likelihood economic losses,.,0.8
Low sHDI : Very high sHDI,2.3084063379675035,0.435863997139603,19.36501809121484,0.8365573894615027,-0.8304250174604206,2.963468247188579,Drought,0.3997643431467485,Low sHDI,20,Likelihood economic losses,.,0.8
Medium sHDI : Very high sHDI,9.622538631953638,0.8296486688766189,91.94856129812808,2.2641081209199667,-0.1867529583143082,4.521229304360527,Drought,0.05427606485017241,Medium sHDI,25,Likelihood economic losses,.,0.8
