case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,natHDI_category,npoints,impact,significance,alpha_sig
High HDI : Very high HDI,1.729092567903486,1.2384562726877513,2.4654731926250992,0.547596743673742,0.2138656626528082,0.902383753625609,All types,0.0019476253975262855,High HDI,2305,Likelihood affected, ** ,1
Low HDI : Very high HDI,3.0827836510110505,2.287622192014278,4.293641361576047,1.125832971615518,0.8275129340148889,1.4571351751432042,All types,1.8393017604579175e-12,Low HDI,2711,Likelihood affected, *** ,1
Medium HDI : Very high HDI,2.5034329715336416,1.8778729069669091,3.4778757078592544,0.917662978526356,0.6301397038245299,1.2464216786228066,All types,8.53387472587651e-9,Medium HDI,3067,Likelihood affected, *** ,1
High HDI : Very high HDI,2.371721879524372,1.5300927020873296,3.8476735970900355,0.8636162227957154,0.4253283231684303,1.3474687051646466,Flood,2.6008028560687755e-4,High HDI,1218,Likelihood affected, *** ,1
Low HDI : Very high HDI,3.8834816855644303,2.599693024910739,6.18029580390648,1.3567320929051805,0.9553933707149157,1.8213661350339072,Flood,9.94947737570526e-10,Low HDI,1566,Likelihood affected, *** ,1
Medium HDI : Very high HDI,3.5622384744448,2.385721708417676,5.665052921352534,1.2703891322179115,0.8695016816753542,1.7343162362461382,Flood,1.4242028046830184e-8,Medium HDI,1587,Likelihood affected, *** ,1
High HDI : Very high HDI,0.9267390759933749,0.08587698990687864,5.1386280677980265,-0.07608322445710457,-2.454839356575591,1.6367861309597298,Landslide,0.9462045111998109,High HDI,83,Likelihood affected,.,0.8
Low HDI : Very high HDI,1.8508646983515629,0.4018706542966707,8.646555824599492,0.6156529344051273,-0.9116249976184355,2.157161071086307,Landslide,0.41714534478415943,Low HDI,127,Likelihood affected,.,0.8
Medium HDI : Very high HDI,0.6784946208728716,0.24892389281383184,2.869505959826863,-0.38787872770787835,-1.3906080805883967,1.0541398755206883,Landslide,0.5340661116295453,Medium HDI,189,Likelihood affected,.,0.8
High HDI : Very high HDI,1.6897355699100514,0.9319113881465255,3.1175561306342563,0.5245720491838191,-0.07051754591266209,1.137049403424964,Storm,0.08410251578064924,High HDI,736,Likelihood affected,.,0.8
Low HDI : Very high HDI,2.333144826228751,1.4149739515718682,4.16906077188503,0.8472170683645093,0.3471111221426253,1.4276907758816522,Storm,0.0020394544622701297,Low HDI,769,Likelihood affected, ** ,1
Medium HDI : Very high HDI,2.240574903821899,1.4168755333011924,3.8109102954775396,0.8067324864289945,0.3484541186721342,1.3378680832986443,Storm,0.0015257602910218155,Medium HDI,1030,Likelihood affected, ** ,1
High HDI : Very high HDI,1.096533504471211,0.17905821104965344,45.15159870157506,0.09215384424228355,-1.7200443246131825,3.810025687908881,Cold wave,0.9575031701282752,High HDI,69,Likelihood affected,.,0.8
Low HDI : Very high HDI,0.1938709682086323,0.01869314287202967,9.302789481400627,-1.6405624535307752,-3.9795985137046155,2.2303142994215572,Cold wave,0.3710801991591905,Low HDI,28,Likelihood affected,.,0.8
Medium HDI : Very high HDI,1.4844706281255824,0.2391659159496647,64.4934570217564,0.39505822932407353,-1.4305977589078163,4.166563777133031,Cold wave,0.8199175194540695,Medium HDI,40,Likelihood affected,.,0.8
High HDI : Very high HDI,2.256249351789934,0.13701562006633075,13.255289218357166,0.8137038558036925,-1.9876603445705314,2.5843966590696876,Wildfire,0.4827881124587644,High HDI,158,Likelihood affected,.,0.8
Low HDI : Very high HDI,0.4404811444899561,0.06918294955142881,2.165273435955907,-0.819887639312165,-2.6710008404839236,0.7725466518424918,Wildfire,0.33862238436247927,Low HDI,144,Likelihood affected,.,0.8
Medium HDI : Very high HDI,0.6758698633775756,0.16927028221852794,3.065654683974058,-0.39175473126804816,-1.7762585385140863,1.1202611465704806,Wildfire,0.5843766217155524,Medium HDI,156,Likelihood affected,.,0.8
High HDI : Very high HDI,0.0019854913497746023,1.4637117839231179e-4,0.019339054434249926,-6.221888864101223,-8.829364844723264,-3.9456286818662956,Heat wave,4.443348787654595e-6,High HDI,27,Likelihood affected, *** ,1
Low HDI : Very high HDI,7.315713855711035e-4,3.859780473550869e-6,0.007350698806647992,-7.220315754335066,-12.464900248241896,-4.912959894542382,Heat wave,9.096290020557138e-5,Low HDI,22,Likelihood affected, *** ,1
Medium HDI : Very high HDI,0.023432770920429155,4.5572506385952766e-5,0.25970814914931983,-3.7536197696723215,-9.996205953412014,-1.3481967817171074,Heat wave,0.18159534164338037,Medium HDI,25,Likelihood affected,.,0.8
High HDI : Very high HDI,1.981208458102714,0.9962237036789475,3.12410007293328,0.6837069909044974,-0.003783444529514762,1.1391462650537734,Drought,0.019871407825434166,High HDI,14,Likelihood affected,* ,1
Low HDI : Very high HDI,12.437012406337153,8.521133522640381,18.070173257077887,2.520676898205653,2.1425493745552724,2.894262692664308,Drought,6.023692093120221e-40,Low HDI,55,Likelihood affected, *** ,1
Medium HDI : Very high HDI,6.8815673393093215,4.2540487701129095,10.663992036225538,1.9288464369464013,1.4478711812428664,2.3668728360855753,Drought,1.8413089725938424e-16,Medium HDI,40,Likelihood affected, *** ,1
High HDI : Very high HDI,1.4417653892047748,0.6317543079267365,3.4794133553954487,0.36586832743233305,-0.45925471369990617,1.2468637035400554,All types,0.41307560625305956,High HDI,2165,Likelihood fatalities,.,0.8
Low HDI : Very high HDI,2.0098438821779854,0.9389054028846495,4.821581960531304,0.698057048496254,-0.06304054725059492,1.5731020817932921,All types,0.10248994522324145,Low HDI,2650,Likelihood fatalities,.,0.8
Medium HDI : Very high HDI,1.521612442789512,0.7040837879120868,3.589201044539509,0.4197705902134559,-0.3508579129854686,1.2779296274646557,All types,0.33135295205874893,Medium HDI,3030,Likelihood fatalities,.,0.8
High HDI : Very high HDI,2.4356887903971667,1.1709141551193223,4.780856116929007,0.8902295873338093,0.15778477289275006,1.5646196344262084,Flood,0.014923299493676672,High HDI,925,Likelihood fatalities,* ,1
Low HDI : Very high HDI,2.9487900076335243,1.6057465426373247,5.345275605271603,1.081394919306385,0.4735887840395279,1.6762131063416115,Flood,4.2222924592387196e-4,Low HDI,1300,Likelihood fatalities, *** ,1
Medium HDI : Very high HDI,2.791982230237516,1.2829941100618214,5.974268056884666,1.026751820351762,0.249196494868341,1.7874615893739165,Flood,0.009964652628287038,Medium HDI,1320,Likelihood fatalities, ** ,1
High HDI : Very high HDI,0.5381221801996374,0.16696951714017585,3.6065228192789753,-0.6196696438610022,-1.7899440153211477,1.28274410020595,Landslide,0.45279164177900644,High HDI,113,Likelihood fatalities,.,0.8
Low HDI : Very high HDI,0.38201515644346096,0.12105796707467929,2.5612801044943776,-0.9622949946090927,-2.1114857813683403,0.9405071743308387,Landslide,0.23635732247169133,Low HDI,189,Likelihood fatalities,.,0.8
Medium HDI : Very high HDI,0.23953791827661736,0.0848043092373829,1.5186951694180182,-1.4290435520047664,-2.4674089209968213,0.4178515250142017,Landslide,0.07026766399954039,Medium HDI,264,Likelihood fatalities,.,0.8
High HDI : Very high HDI,0.38977435893713347,0.19328966439197465,0.8853418034038104,-0.9421872741206794,-1.643565363457732,-0.12178149000200925,Storm,0.015621077931327172,High HDI,786,Likelihood fatalities,* ,1
Low HDI : Very high HDI,8.150709474031219,1.995570524634062,23.206614177834947,2.0981049754923338,0.690929986718306,3.1444373319129246,Storm,7.959300739909128e-4,Low HDI,877,Likelihood fatalities, *** ,1
Medium HDI : Very high HDI,2.1274857974566883,0.8889812304415862,5.13728184815217,0.754940905747076,-0.11767915680519374,1.6365241162740096,Storm,0.09557966006846229,Medium HDI,1130,Likelihood fatalities,.,0.8
High HDI : Very high HDI,1.7415419527420684,0.8014238338793414,4.0790586040030155,0.5547709005378181,-0.22136534091868157,1.405866227479827,Cold wave,0.1791559608302678,High HDI,148,Likelihood fatalities,.,0.8
Low HDI : Very high HDI,3.369356535208203,1.142515148628574,8.680347971441355,1.21472178702572,0.13323210289182066,2.1610616167444534,Cold wave,0.017051209915012862,Low HDI,103,Likelihood fatalities,* ,1
Medium HDI : Very high HDI,9.673784758650955,0.7221173498339546,35.49720603293366,2.269419624685722,-0.32556761890053576,3.5694539900864597,Cold wave,0.06417757120737463,Medium HDI,124,Likelihood fatalities,.,0.8
High HDI : Very high HDI,0.32342900102971506,0.09459102331413784,1.3139685897808824,-1.1287756604431718,-2.3581926983977963,0.27305201550036173,Wildfire,0.08876931167843773,High HDI,108,Likelihood fatalities,.,0.8
Low HDI : Very high HDI,0.7040565576876975,0.09686073380593514,3.4180882466960445,-0.35089658842641847,-2.3344810660917585,1.2290814025859906,Wildfire,0.6947295409706622,Low HDI,92,Likelihood fatalities,.,0.8
Medium HDI : Very high HDI,0.2628982141049473,0.06780477267249142,1.07252129940179,-1.335988340327772,-2.6911226931137078,0.07001223120492485,Wildfire,0.05887328779875721,Medium HDI,106,Likelihood fatalities,.,0.8
High HDI : Very high HDI,1.2496189627258514,0.049390651919127344,5.64742786192224,0.22283867502483753,-3.0079941051013,1.731200195825096,Heat wave,0.8704346645033111,High HDI,85,Likelihood fatalities,.,0.8
Low HDI : Very high HDI,0.21555239801089204,0.031397005469985174,0.7373303975641822,-1.5345512527713496,-3.461042757813594,-0.30471918661967917,Heat wave,0.03842857469521102,Low HDI,83,Likelihood fatalities,* ,1
Medium HDI : Very high HDI,0.5375286257177576,0.03133925880053073,2.085065329329828,-0.6207732632491143,-3.462883692604173,0.7348001877718042,Heat wave,0.5518866603920987,Medium HDI,83,Likelihood fatalities,.,0.8
High HDI : Very high HDI,0.44780399409775784,0.2785161203491441,0.7137046460428943,-0.8033996554786137,-1.2782793385282025,-0.33728606322821764,All types,9.439201587894524e-4,High HDI,1362,Likelihood economic damages, *** ,1
Low HDI : Very high HDI,0.6321597104546476,0.376590290834693,1.0371889569697084,-0.4586132103445859,-0.9765974441995143,0.036514127662434524,All types,0.080700948709428,Low HDI,1197,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,0.6531210585683155,0.4175268061534722,1.038711234515999,-0.42599277857510826,-0.8734065303967447,0.037980747132290646,All types,0.06484498376090872,Medium HDI,1731,Likelihood economic damages,.,0.8
High HDI : Very high HDI,0.5117764904980723,0.2700342946382441,1.012213888900295,-0.6698672912507785,-1.3092063108710794,0.012139901201720761,Flood,0.04862791985353063,High HDI,554,Likelihood economic damages,* ,1
Low HDI : Very high HDI,0.6868590679062346,0.2923516995714655,1.6228943024327898,-0.375626149134229,-1.2297977508953462,0.48421116160138405,Flood,0.3942097536171671,Low HDI,NA,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,0.4033158947977039,0.22343117961547784,0.7867336769490002,-0.9080351660329151,-1.4986518335295196,-0.23986549069613097,Flood,0.004214297348092086,Medium HDI,718,Likelihood economic damages, ** ,1
High HDI : Very high HDI,0.9767281329127727,0.0999582661907051,4.122669401897176,-0.023546932896464874,-2.3030025181967737,1.4165008666382117,Landslide,0.9790843982973,High HDI,24,Likelihood economic damages,.,0.8
Low HDI : Very high HDI,0.6340264587798434,0.17167102797667566,2.3668816430413315,-0.4556645923244766,-1.762175261619857,0.8615733263417897,Landslide,0.4783260088831936,Low HDI,NA,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,2.775797518345954,0.36169304156759863,12.166167467716168,1.0209380999071953,-1.0169593783412976,2.4986589410278546,Landslide,0.25023119382827996,Medium HDI,45,Likelihood economic damages,.,0.8
High HDI : Very high HDI,0.5055488043562276,0.18168537837339965,1.1705855542025165,-0.6821106984831746,-1.7054787780706127,0.15750409729184794,Storm,0.15206098763127734,High HDI,632,Likelihood economic damages,.,0.8
Low HDI : Very high HDI,0.6983089124460093,0.36416614275450127,1.3615099578518863,-0.35909370614985997,-1.0101450793419449,0.30859434698806454,Storm,0.2779573446820583,Low HDI,NA,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,0.669619900973257,0.33393842424854586,1.3475661075556182,-0.40104503955966797,-1.0967986615388485,0.298300082008119,Storm,0.25738928021788315,Medium HDI,817,Likelihood economic damages,.,0.8
High HDI : Very high HDI,0.22989846695972183,0.08592690577669837,0.5843815637805667,-1.4701175155270054,-2.4542582769554153,-0.5372011468643973,Wildfire,0.002518690554618008,High HDI,100,Likelihood economic damages, ** ,1
Low HDI : Very high HDI,0.031910790578115696,0.0069993316746861794,0.08937058596788952,-3.44481106375239,-4.961940609529687,-2.414963666959447,Wildfire,9.001077017004686e-7,Low HDI,NA,Likelihood economic damages, *** ,1
Medium HDI : Very high HDI,3.890684989178839,0.2849524436961852,14.793688742205452,1.35858523189157,-1.2554329768607815,2.694200653482768,Wildfire,0.17992647578293414,Medium HDI,100,Likelihood economic damages,.,0.8
High HDI : Very high HDI,1.2794548584820369,0.2240446458325749,7.685724126877148,0.2464340954029417,-1.4959099352344791,2.0393645985603053,Drought,0.7834890756322551,High HDI,24,Likelihood economic damages,.,0.8
Low HDI : Very high HDI,6.774158347333301,0.44901427805036687,47.94735319195366,1.9131151298727849,-0.8007005920787401,3.8701036004723033,Drought,0.092576257445133,Low HDI,NA,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,4.0949714808943645,0.422761024529113,27.867163075642356,1.4097597529082209,-0.8609482134142907,3.327449044983107,Drought,0.21503885552850896,Medium HDI,29,Likelihood economic damages,.,0.8
